AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
demersal_fish_benthivore,1.2,-0.018031998,0.013105689,0.981968002,0.013105689,143.5526563,38.9211855,146.2283101,39.73715399
pelagic_fish_apex_predator,1.2,-0.018405734,0.010031797,0.981594266,0.010031797,3.748444169,1.467915406,3.815147456,1.483397213
pelagic_fish_piscivore,1.2,-0.025187411,0.014038121,0.974812589,0.014038121,25.45658025,7.835398445,26.09034044,7.925384366
cepahlopods,1.2,-0.07582552,0.039032406,0.92417448,0.039032406,24.9233707,9.019165709,26.86065739,9.368870188
benthos_epifauna,1.2,-0.002852562,0.003127779,0.997147438,0.003127779,116.1231422,40.02317763,116.4295319,40.05264447
benthos_filter_feeders,1.2,-0.000526912,0.001241126,0.999473088,0.001241126,391.954338,182.7792641,392.2103859,183.1136223
benthos_infauna,1.2,-0.001114977,0.001911412,0.998885023,0.001911412,105.7906334,47.28886718,105.9374784,47.59256127
seabirds,1.2,-0.021381617,0.014032567,0.978618383,0.014032567,0.064427808,0.030650362,0.065782148,0.031180238
turtle,1.2,-0.01216708,0.063374145,0.98783292,0.063374145,0.00741396,0.00457642,0.007411844,0.004272574
odontocetes,1.2,-0.047615021,0.025018774,0.952384979,0.025018774,0.487898976,0.288212412,0.513426597,0.305648213
baleen_whales,1.2,-0.14158839,0.1152428,0.85841161,0.1152428,0.00012782,8.16E-05,0.000147937,8.85E-05
fish_eggs,1.2,-0.018040953,0.010494059,0.981959047,0.010494059,5.88639733,1.529228005,5.989398591,1.531216769
detritus_offal,1.2,-0.014788987,0.011992044,0.985211013,0.011992044,0.812173958,0.738259206,0.82187267,0.743135754
fisheries,1.2,-0.014788987,0.011992044,0.985211013,0.011992044,3.765233951,2.56473256,3.810652448,2.578020199
pelagic_detritus,1.2,-0.000418535,0.000507161,0.999581465,0.000507161,1280.209001,247.9718265,1280.736781,248.0074371
benthic_detritus,1.2,0.000183639,0.000655779,1.000183639,0.000655779,562.1097973,72.184896,562.0125949,72.21826325
NO3,1.25,0,0,0,0,0,0,0,0
pelagic_NH4,1.25,-0.00210705,0.001347385,0.99789295,0.001347385,3284.490669,480.7328866,3291.276177,480.7234576
benthic_NH4,1.25,0.0032541,0.002148647,1.0032541,0.002148647,1979.933427,419.598158,1973.755627,419.4168497
phytoplankton,1.25,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.25,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.25,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.25,-0.000145119,0.000506193,0.999854881,0.000506193,1442.672325,586.3781816,1442.871025,586.4360943
micro_zooplankton,1.25,-0.000285994,0.000510366,0.999714006,0.000510366,1399.377799,803.7446648,1399.708761,803.840665
meso_zooplankton,1.25,-0.0007504,0.000958658,0.9992496,0.000958658,5142.467421,804.506182,5145.935328,803.2003794
macro_zooplankton,1.25,-0.021500261,0.019897392,0.978499739,0.019897392,54.85899237,18.04775509,56.12382074,18.59171186
