AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
micro-zooplankton,1.15,3.39E-18,7.46E-17,1,8.08E-17,4154.93176,1068.536424,4154.93176,1068.536424
meso-zooplankton,1.15,-0.0025881,0.002139274,0.9974119,0.002139274,2235.276637,592.5819549,2240.681626,592.642402
macro-zooplankton,1.15,-0.022776242,0.018659226,0.977223758,0.018659226,155.9111672,8.42E+01,159.4863558,8.61E+01
eupahusiids,1.15,-0.012025153,0.007648823,0.987974847,0.007648823,1402.799915,408.4692,1418.337561,408.3683393
gelatinous_zoop,1.15,-0.015918651,0.018859134,0.984081349,0.018859134,121.0451071,63.58604033,123.1180372,64.98906173
large_jellyfish,1.15,0.121924644,0.017287728,1.121924644,0.017287728,828.8481673,228.4386343,739.7158427,206.7189082
cepahlopods,1.15,-0.415833444,0.192875812,0.584166556,0.192875812,15.32374352,14.40001729,23.42786881,15.10832468
forage_fish,1.15,-0.389171864,0.20566878,0.610828136,0.20566878,101.9111998,101.1651038,145.3853294,101.1151519
juvenile_fish,1.15,-0.347389062,0.191162372,0.652610938,0.191162372,21.11764884,1.79E+01,30.04758481,1.93E+01
pelagic_fish_planktivore,1.15,-0.506402169,0.272513532,0.493597831,0.272513532,5.421816657,8.88E+00,9.02772232,9.63E+00
pelagic_fish_piscivore,1.15,-0.355329755,0.160340195,0.644670245,0.160340195,4.566080508,3.325479616,6.597225997,3.575415129
apex_predator_fish,1.15,-4.11E-01,1.63E-01,0.589402967,1.63E-01,0.252433853,2.34E-01,0.386225123,2.59E-01
demersal_fish_piscivore,1.15,-4.40E-01,1.70E-01,0.5597945,1.70E-01,1.004535952,9.82E-01,1.592809477,1.09E+00
demersal_fish_benthivore,1.15,-0.420195617,0.165154756,0.579804383,0.165154756,13.67879767,1.18E+01,21.28155873,1.23E+01
benthos_infauna,1.15,-0.001699186,0.000899827,0.998300814,0.000899827,36.1246688,14.27472603,36.18233629,14.28859015
benthos_filter_feeders,1.15,-0.107928455,0.092428333,0.892071545,0.092428333,12.22908552,6.778026788,13.58341774,7.054209811
benthos_detritovores,1.15,-0.005829064,0.007064383,0.994170936,0.007064383,12.09405594,5.153659834,12.1574371,5.160838176
benthos_epifauna,1.15,-0.238701324,0.167594643,0.761298676,0.167594643,30.64730335,23.60073403,39.50885962,25.4317303
seabirds,1.15,-0.395147358,0.174011088,0.604852642,0.174011088,1.522914857,1.359807952,2.285047606,1.437794007
baleen_whales,1.15,-0.408317615,0.205584413,0.591682385,0.205584413,4.503997263,4.50465498,6.809770273,4.739024734
odontocetes,1.15,-0.420050226,0.17037841,0.579949774,0.17037841,0.952359682,0.950060298,1.46536547,1.075179782
pinnipeds,1.15,-0.399153421,0.159335658,0.600846579,0.159335658,3.061298394,2.629663597,4.660956052,2.89460934
detritus_offal,1.15,-0.404632978,0.167616936,0.595367022,0.167616936,2.985724988,2.940990935,4.480703671,3.163909612
fisheries,1.15,-0.404632978,0.167616936,0.595367022,0.167616936,4.5711637,4.494837133,6.862650369,4.827703833
pelagic_detritus,1.15,5.15E-18,1.78E-16,1,1.87E-16,1511.293168,710.4968137,1511.293168,710.4968137
benthic_detritus,1.15,-0.001699186,0.000899827,0.998300814,0.000899827,73.49820495,16.67009664,73.61645124,16.66907614
NO3,1.2,0,0,0,0,0,0,0,0
pelagic_NH4,1.2,0.007924262,0.002961629,1.007924262,0.002961629,5635.515415,195.8838964,5591.222526,194.1176579
benthic_NH4,1.2,-0.246046153,0.09569409,0.753953847,0.09569409,141.7232662,64.86894179,183.7575339,63.90994748
lg_phytoplankton,1.2,0,0,1,0,1560.383071,1.89E-11,1560.383071,1.89E-11
sm_phytoplankton,1.2,0,0,1,0,4957.843648,4.19E-11,4957.843648,4.19E-11
macroalgae_&_other,1.2,0,0,1,0,2.993160008,5.82E-14,2.993160008,5.82E-14
outside-production,1.2,0,0,1,0,4,0,4,0
micro-zooplankton,1.2,1.78E-18,6.96E-17,1,7.67E-17,4154.93176,1068.536424,4154.93176,1068.536424
meso-zooplankton,1.2,-0.0034508,0.002852365,0.9965492,0.002852365,2233.474973,592.5674835,2240.681626,592.642402
macro-zooplankton,1.2,-0.028957127,0.024541946,0.971042873,0.024541946,154.9024783,8.37E+01,159.4863558,8.61E+01
eupahusiids,1.2,-0.016023443,0.010188485,0.983976557,0.010188485,1397.632814,4.09E+02,1418.337561,4.08E+02
gelatinous_zoop,1.2,-0.02121103,0.025124126,0.97878897,0.025124126,120.3558624,63.14509383,123.1180372,64.98906173
large_jellyfish,1.2,1.52E-01,2.91E-02,1.151912062,2.91E-02,850.0119875,231.6197228,739.7158427,206.7189082
cepahlopods,1.2,-4.95E-01,2.10E-01,0.505281534,2.10E-01,13.60949892,14.02265944,23.42786881,15.10832468
forage_fish,1.2,-0.463485632,0.227208618,0.536514368,0.227208618,91.82244744,99.92239819,145.3853294,101.1151519
juvenile_fish,1.2,-0.415882206,0.206623847,0.584117794,0.206623847,19.18985481,17.36586049,30.04758481,19.27278628
pelagic_fish_planktivore,1.2,-0.589729633,0.277820011,0.410270367,0.277820011,4.724518614,8.598311803,9.02772232,9.628653528
pelagic_fish_piscivore,1.2,-0.427093106,0.17663639,0.572906894,0.17663639,4.117938405,3.225180691,6.597225997,3.575415129
apex_predator_fish,1.2,-0.488978557,0.177008164,0.511021443,0.177008164,0.22358253,0.224252389,0.386225123,0.258592249
demersal_fish_piscivore,1.2,-0.520088801,0.179812566,0.479911199,0.179812566,0.881488303,9.36E-01,1.592809477,1.09E+00
demersal_fish_benthivore,1.2,-0.493164591,0.1757868,0.506835409,0.1757868,12.19736173,1.14E+01,21.28155873,1.23E+01
benthos_infauna,1.2,-0.00207501,0.001141912,0.99792499,0.001141912,36.111874,1.43E+01,36.18233629,1.43E+01
benthos_filter_feeders,1.2,-0.126950553,0.103748837,0.873049447,0.103748837,11.96426143,6.686658242,13.58341774,7.054209811
benthos_detritovores,1.2,-0.007017091,0.008708465,0.992982909,0.008708465,12.08105826,5.152001047,12.1574371,5.160838176
benthos_epifauna,1.2,-0.27864587,0.182343144,0.72135413,0.182343144,28.91588935,22.89169601,39.50885962,25.4317303
seabirds,1.2,-0.469017281,0.186532005,0.530982719,0.186532005,1.363781555,1.320147293,2.285047606,1.437794007
baleen_whales,1.2,-0.482759695,0.215946894,0.517240305,0.215946894,4.025559952,4.377714376,6.809770273,4.739024734
odontocetes,1.2,-0.4998467,0.183885914,0.5001533,0.183885914,0.84128335,0.906321929,1.46536547,1.075179782
pinnipeds,1.2,-0.475174476,0.171855058,0.524825524,0.171855058,2.720960082,2.522717822,4.660956052,2.89460934
detritus_offal,1.2,-0.481192284,0.182043844,0.518807716,0.182043844,2.654657576,2.840768515,4.480703671,3.163909612
fisheries,1.2,-0.481192284,0.182043844,0.518807716,0.182043844,4.063952735,4.343566135,6.862650369,4.827703833
