AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
demersal_fish_piscivore,1.15,-0.011682019,0.007626731,0.988317981,0.007626731,8.568312424,2.705675978,8.673111889,2.748601651
demersal_fish_benthivore,1.15,-0.011416637,0.006571373,0.988583363,0.006571373,144.5224879,39.17917257,146.2283101,39.73715399
pelagic_fish_apex_predator,1.15,-0.005893987,0.00851577,0.994106013,0.00851577,3.787997567,1.458933064,3.815147456,1.483397213
pelagic_fish_piscivore,1.15,0.013011925,0.014661201,1.013011925,0.014661201,26.39619427,7.889223586,26.09034044,7.925384366
cepahlopods,1.15,-0.01425807,0.009665504,0.98574193,0.009665504,26.45942226,9.16701611,26.86065739,9.368870188
benthos_epifauna,1.15,-0.003141366,0.00197918,0.996858634,0.00197918,116.0798173,39.97285107,116.4295319,40.05264447
benthos_filter_feeders,1.15,-0.000365263,0.000336461,0.999634737,0.000336461,392.0805109,183.0919013,392.2103859,183.1136223
benthos_infauna,1.15,-0.001050656,0.000691578,0.998949344,0.000691578,105.8252313,47.54669256,105.9374784,47.59256127
seabirds,1.15,0.025717921,0.026929079,1.025717921,0.026929079,0.067560033,0.032532699,0.065782148,0.031180238
turtle,1.15,-0.008076721,0.006948163,0.991923279,0.006948163,0.007354106,0.004237868,0.007411844,0.004272574
odontocetes,1.15,-0.007371273,0.008069008,0.992628727,0.008069008,0.5088701,0.301612423,0.513426597,0.305648213
baleen_whales,1.15,-0.003593572,0.008910745,0.996406428,0.008910745,0.000147277,8.79E-05,0.000147937,8.85E-05
fish_eggs,1.15,-0.002459404,0.002277295,0.997540596,0.002277295,5.974554082,1.529444016,5.989398591,1.531216769
detritus_offal,1.15,-0.007095016,0.005794088,0.992904984,0.005794088,0.817068859,0.741039796,0.82187267,0.743135754
fisheries,1.15,-0.007095016,0.005794088,0.992904984,0.005794088,3.788543187,2.572836097,3.810652448,2.578020199
pelagic_detritus,1.15,-0.000261977,0.00025852,0.999738023,0.00025852,1280.400195,247.9411513,1280.736781,248.0074371
benthic_detritus,1.15,-0.000136983,0.000223831,0.999863017,0.000223831,561.935579,72.20807876,562.0125949,72.21826325
NO3,1.2,0,0,0,0,0,0,0,0
pelagic_NH4,1.2,0.001250197,0.000884636,1.001250197,0.000884636,3295.27261,480.5076875,3291.276177,480.7234576
benthic_NH4,1.2,-0.00166384,0.001086885,0.99833616,0.001086885,1970.571922,419.2110979,1973.755627,419.4168497
phytoplankton,1.2,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.2,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.2,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.2,-0.000541512,0.0004005,0.999458488,0.0004005,1442.166518,586.3323952,1442.871025,586.4360943
micro_zooplankton,1.2,-0.0002079,0.000247383,0.9997921,0.000247383,1399.480223,803.7882291,1399.708761,803.840665
meso_zooplankton,1.2,-0.000152436,0.000111536,0.999847564,0.000111536,5145.180844,803.2311463,5145.935328,803.2003794
macro_zooplankton,1.2,-0.013729422,0.011135382,0.986270578,0.011135382,55.30523587,18.17013136,56.12382074,18.59171186
eupahusiids,1.2,-0.002919207,0.00425468,0.997080793,0.00425468,23.03667746,14.09220928,23.0865655,14.09379831
gelatinous_zoop,1.2,-0.009028668,0.009540294,0.990971332,0.009540294,239.8427604,123.6919707,241.7960124,123.9773978
large_jellyfish,1.2,-0.021242126,0.015216578,0.978757874,0.015216578,151.2187979,64.68849806,154.5383302,66.01635227
gulf_menhaden,1.2,-0.008927667,0.008034734,0.991072333,0.008034734,701.3797707,361.2995823,706.4577296,361.1212632
forage_fish,1.2,0.199261623,0.000432715,1.199261623,0.000432715,110.4403785,56.64514502,92.09096738,47.23935341
pelagic_fish_planktivore,1.2,-0.010727453,0.008881778,0.989272547,0.008881778,254.704228,76.53848775,257.479067,77.47823715
demersal_fish_piscivore,1.2,-0.015568091,0.010160611,0.984431909,0.010160611,8.533451047,2.691867747,8.673111889,2.748601651
demersal_fish_benthivore,1.2,-0.015214404,0.008756948,0.984785596,0.008756948,143.9549859,38.99947808,146.2283101,39.73715399
pelagic_fish_apex_predator,1.2,-0.007851359,0.011344833,0.992148641,0.011344833,3.778979092,1.45108926,3.815147456,1.483397213
pelagic_fish_piscivore,1.2,0.017350511,0.019544036,1.017350511,0.019544036,26.49819971,7.881238217,26.09034044,7.925384366
cepahlopods,1.2,-0.019005313,0.012883599,0.980994687,0.012883599,26.32582209,9.102557833,26.86065739,9.368870188
benthos_epifauna,1.2,-0.00418788,0.0026384,0.99581212,0.0026384,115.9633124,39.94652496,116.4295319,40.05264447
benthos_filter_feeders,1.2,-0.000486992,0.000448587,0.999513008,0.000448587,392.0372279,183.0846778,392.2103859,183.1136223
