AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
meso-zooplankton,1.15,-0.000204369,0.000209673,0.999795631,0.000209673,2545.467965,853.896875,2545.927923,853.8679299
macro-zooplankton,1.15,-0.02413506,0.013479438,0.97586494,0.013479438,444.0003401,182.7515676,453.9173248,184.0760253
eupahusiids,1.15,-0.003758863,0.004172629,0.996241137,0.004172629,876.1576195,397.8764346,878.8370347,397.8637248
gelatinous_zoop,1.15,-0.012679449,0.009161372,0.987320551,0.009161372,499.536093,240.6253799,505.1274336,241.1423447
large_jellyfish,1.15,0.142477788,0.006414755,1.142477788,0.006414755,215.4992236,86.53467296,188.6746153,75.84627863
cepahlopods,1.15,-0.035284976,0.022720806,0.964715024,0.022720806,26.39926705,12.81825353,27.27857146,13.02609029
forage_fish,1.15,-0.025300989,0.015322972,0.974699011,0.015322972,149.259489,64.6915136,152.7771205,65.2790529
juvenile_fish,1.15,-0.047332749,0.024988755,0.952667251,0.024988755,50.07092537,2.56E+01,52.46847812,2.65E+01
pelagic_fish_planktivore,1.15,-0.036616037,0.027622631,0.963383963,0.027622631,10.01695545,6.034565226,10.31350985,6.069933853
pelagic_fish_piscivore,1.15,-0.02092372,0.013422227,0.97907628,0.013422227,110.4688662,42.52425612,112.6195137,42.73921954
pelagic_fish_apex_predator,1.15,-0.024129256,0.013022153,0.975870744,0.013022153,0.153044101,0.095999989,0.156515651,0.097456555
demersal_fish_piscivore,1.15,-0.006888688,0.005156246,0.993111312,0.005156246,54.14600415,36.98024268,54.43458126,37.09701266
demersal_fish_benthivore,1.15,-0.014912854,0.009627948,0.985087146,0.009627948,18.38980012,6.737369101,18.65539892,6.795824942
benthos_infauna,1.15,0.002594359,0.001211407,1.002594359,0.001211407,109.0534527,4.34E+01,108.7790859,4.33E+01
benthos_filter_feeders,1.15,-0.002673583,0.009049173,0.997326417,0.009049173,41.32567167,2.13E+01,41.43044096,2.13E+01
benthos_detritovores,1.15,0.000168713,0.001144797,1.000168713,0.001144797,14.87937001,8.69164273,14.87467155,8.684445079
benthos_epifauna,1.15,-1.02E-02,8.42E-03,0.98983792,8.42E-03,147.0595172,4.40E+01,148.5500371,4.43E+01
seabirds,1.15,-5.55E-03,3.27E-03,0.994448043,3.27E-03,122.4369489,5.72E+01,123.0424215,5.74E+01
baleen_whales,1.15,-0.02570403,0.017229564,0.97429597,0.017229564,5.074319146,2.60E+00,5.193532375,2.63E+00
odontocetes,1.15,-0.015492832,0.012949007,0.984507168,0.012949007,2.808752459,1.404969471,2.854661558,1.430340762
pinnipeds,1.15,-0.012930967,0.007479152,0.987069033,0.007479152,4.922012308,2.587616756,4.979887449,2.605427862
detritus_offal,1.15,-0.003433985,0.001591956,0.996566015,0.001591956,203.8130223,59.6877546,204.4966676,59.82549715
fisheries,1.15,-0.019494887,0.01131631,0.980505113,0.01131631,8.371324688,3.627496639,8.528047162,3.667854936
pelagic_detritus,1.15,-0.001108528,0.000841766,0.998891472,0.000841766,1384.726652,418.8963821,1386.121719,419.0048504
benthic_detritus,1.15,0.002594359,0.001211407,1.002594359,0.001211407,249.0812614,39.11208498,248.4481512,39.08110367
NO3,1.2,0,0,0,0,0,0,0,0
pelagic_NH4,1.2,-0.001643974,0.00081182,0.998356026,0.00081182,3798.041513,417.7724068,3804.15788,417.2685096
benthic_NH4,1.2,6.29E-05,0.000971425,1.000062943,0.000971425,1642.743079,328.0945676,1642.694366,328.398786
lg_phytoplankton,1.2,0,0,1,0,7511.602896,1.78E-10,7511.602896,1.78E-10
sm_phytoplankton,1.2,0,0,1,0,1022.827288,9.90E-12,1022.827288,9.90E-12
micro-zooplankton,1.2,-0.000762089,0.000595112,0.999237911,0.000595112,4281.096484,1319.771411,4284.182856,1320.413852
meso-zooplankton,1.2,-0.00027236,0.00027941,0.99972764,0.00027941,2545.314961,853.9066074,2545.927923,853.8679299
macro-zooplankton,1.2,-0.031764128,0.017842734,0.968235872,0.017842734,440.8551837,182.3577922,453.9173248,184.0760253
eupahusiids,1.2,-0.005011322,0.005562938,0.994988678,0.005562938,875.264832,397.8841136,878.8370347,397.8637248
gelatinous_zoop,1.2,-0.016870129,0.012204549,0.983129871,0.012204549,497.6889448,240.4694012,505.1274336,241.1423447
large_jellyfish,1.2,0.188158677,0.011401365,1.188158677,0.011401365,224.09147,89.97013209,188.6746153,75.84627863
cepahlopods,1.2,-0.046732218,0.030128,0.953267782,0.030128,26.11393526,12.75772894,27.27857146,13.02609029
forage_fish,1.2,-0.033150809,0.019848189,0.966849191,0.019848189,148.1676083,64.52511046,152.7771205,65.2790529
juvenile_fish,1.2,-0.062496212,0.033007615,0.937503788,0.033007615,49.29808141,25.30261906,52.46847812,26.53292767
