AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
lg_phytoplankton,1.35,0,0,1,0,8078.9745,2.15E-10,8078.9745,2.15E-10
sm_phytoplankton,1.35,0,0,1,0,3263.49,7.46E-11,3263.49,7.46E-11
microZoop,1.35,0.000430768,0.000379373,1.000430768,0.000379373,5076.685711,1130.017835,5074.712771,1130.412196
mesoZoop,1.35,2.69E-05,2.20E-05,1.000026891,2.20E-05,2698.25362,971.1074371,2698.185147,971.0904056
macroZoop,1.35,5.26E-05,6.67E-05,1.000052628,6.67E-05,1199.458032,530.1674299,1199.405317,530.1613163
gelatinousZoop,1.35,-0.182076293,0.174902776,0.817923707,0.174902776,0.014632074,0.011754331,0.018369378,0.013869829
jellyfish,1.35,0.330752331,0.021140097,1.330752331,0.021140097,486.1745744,261.9557561,364.4933266,196.4193074
macrobenthos,1.35,0.007418007,0.005147942,1.007418007,0.005147942,14.24687283,17.70488439,14.14050134,17.56034401
forage_fish,1.35,-0.062112938,0.051637518,0.937887062,0.051637518,1365.904995,589.8257784,1438.951543,586.5548569
mesopelagic,1.35,-0.103005965,0.08075502,0.896994035,0.08075502,155.6056952,82.18587917,172.1428689,86.6667051
cephalopods,1.35,-0.08437988,0.058366703,0.91562012,0.058366703,32.73569692,23.7306518,35.49804108,25.28956206
pelagicFishPlanktivore,1.35,-0.123291468,0.133023222,0.876708532,0.133023222,108.5504905,66.36353088,124.8972703,73.6880428
pelagicFishPiscivore,1.35,-0.074075923,0.047121389,0.925924077,0.047121389,123.290477,67.38405355,132.3813448,70.25997706
demersalFishPiscivore,1.35,-0.076879876,0.056906908,0.923120124,0.056906908,23.65427063,10.02834584,25.47973901,10.32246111
demersalFishBenthivore,1.35,-0.076495673,0.095402167,0.923504327,0.095402167,87.60211741,42.88322564,95.06010572,45.08407423
pelagicFishApexPred,1.35,-0.070964604,0.042461396,0.929035396,0.042461396,0.149127452,1.05E-01,0.159640314,1.11E-01
